params,params,params,params,values,values,values,values,user_attrs
discriminator_steps,epochs,lr,weight_decay,JSD,PCD,PS,WD,file_path
1,1050,0.00800593064551969,1.304591073293801e-05,0.1096745079350184,1.967028820382782,0.025520463175133637,0.0650259808262147,../../models/hcvdata/CTGAN/cae9e8cd2ff7a1f87c0aa9e17411e7d6f7a1bf68a060fcf86ebfb947cdcb5890.pth
3,1170,0.0007770294667215705,3.2877492172719116e-06,0.13533543955546817,1.4820831958979375,0.09376604437950838,0.0347727772864245,../../models/hcvdata/CTGAN/15f929ddc679e69852bc19098fd43e0fa95bc45f8e9e1ce7bafbc20d44fdd3a2.pth
5,810,0.002829863630038359,1.5495196538226968e-07,0.11162517942005167,1.6436064952701266,0.02568517981437939,0.03396262977794898,../../models/hcvdata/CTGAN/8c1493a753e2e700693706cff8e1c905bafdffbcec5118d70cd736e16c3d6ac9.pth
1,1800,0.00012161662663505772,1.0834262481452632e-06,0.10717811144553616,1.9168520019347357,0.04844885115311411,0.04658390953618131,../../models/hcvdata/CTGAN/81e49e106953e13be25b3aacea63903c6b1642021c93b8522365ba14dc26d0d7.pth
3,980,0.000826999749342929,1.0602315424447549e-06,0.10504397343055415,1.5767394758800535,0.06635380800504634,0.027490670425057272,../../models/hcvdata/CTGAN/e38e76b02eadee36ae5340b502f543944409b3a75b970196de193d17f868515f.pth
2,1180,0.0017337396183780076,2.292594775662668e-07,0.10317850653697606,1.7424590452220508,0.026460541289004543,0.022684943193267863,../../models/hcvdata/CTGAN/40d7a14633877a990dca5f0a2f3962caa84d81bac749c3dde3d19b19cde57d43.pth
5,890,1.4781496065824506e-05,1.3339249966653e-06,0.11166747352017686,2.2086589515391446,0.024988411441909993,0.026155165046964926,../../models/hcvdata/CTGAN/ca1cb6b7f6bfe3465aa5e68f74ccca266e5357b0632eb069d9075e1e6f712f0e.pth
1,1450,0.0061375855678468885,2.6789595325948352e-05,0.10995924283731852,2.088365971327938,0.033732672062314235,0.06392375052803882,../../models/hcvdata/CTGAN/c8b16696b573d0f2b18cd385b2ecec44a06f4c07d2c05e4217289f7c7031c2ec.pth
4,1800,0.003968713462661026,1.2001584632410086e-06,0.09404759917211217,1.5786779076460264,0.01759788481323462,0.038961192331092485,../../models/hcvdata/CTGAN/42f207bfe3ec575a23bb7c0c2f55b326ff3e4a8d81e6afcfdd06004bf75262e8.pth
1,660,5.207139101049947e-05,8.70291533014395e-06,0.12733137572591188,2.2946319353628706,0.06251197899865764,0.03830112760338009,../../models/hcvdata/CTGAN/b233f8db353cc2f01ba266b682734c3eb9c1de30655e3463ba98d83c12ed746f.pth
1,1800,0.0003572966859288476,1.1505668820054587e-06,0.1052798433091734,1.576113120657226,0.0764195696281437,0.033745727848040745,../../models/hcvdata/CTGAN/090c5a5468e4461a1bd145cb18b62469b98d2877cce33976c49e8a38302011ef.pth
1,1780,0.006504778651212948,0.00023366933208262037,0.10653567726087576,2.017691304683763,0.026310828282571065,0.06417162326804021,../../models/hcvdata/CTGAN/0b1cdbbbca598ba3a2510d6e70146618ccc174a469ebf07260fb36119553670a.pth
3,370,2.6188672670788995e-05,0.0001185661896593186,0.11717293349526747,2.2170287270839575,0.03180081931933205,0.028413750443996032,../../models/hcvdata/CTGAN/5c986651db6ebcc954ddb0473c5e6fc7e30fa8f3946fe59f3dde9d486bdc6ff0.pth
1,1350,0.004750422882803783,9.376469413486654e-07,0.10942953294572481,1.8599268642180138,0.02274087302254353,0.04505118131056469,../../models/hcvdata/CTGAN/792b648ce59eeeefb196779de07d226bcf685cfd3d817f5f71abe06ae40cd921.pth
3,660,0.0006177012724186222,4.1730062727688984e-07,0.11064974715834393,1.8721364054819973,0.13063948007037327,0.05388057675803724,../../models/hcvdata/CTGAN/2370c2d55c631f5bdb81a13739909f13beee6cfec5de5dbb71a5022412fd5d07.pth
1,350,0.00010232234309962347,3.3991673100262426e-06,0.12774617616317338,2.2189837994958337,0.07406403367874799,0.04297303579166231,../../models/hcvdata/CTGAN/9dfae922267c7009b924db8bc30737224522c56c7c8d69d9ad29be225f2dec4f.pth
2,1670,0.0005884284274185078,2.816610357575774e-06,0.1646109076106575,1.4890638088535766,0.04770137359139346,0.030601740787060242,../../models/hcvdata/CTGAN/3ccac5cd6b96e567580b3543d0eaf61b2e9227eb81fb888a0ef3e15ef84bbd99.pth
1,1650,0.00019806159044981786,4.134653232070555e-06,0.13261618548259502,1.5541743674793527,0.0856044984257254,0.037182969389398385,../../models/hcvdata/CTGAN/61e6e0a7b76d86ac4206cc7b36037134421a65c4c6ecb10ed6de2f4866407c1e.pth
4,1310,0.006863117190184364,5.3566171827443816e-05,0.11345907506236268,2.025752164907784,0.029678660614952303,0.07031499679921671,../../models/hcvdata/CTGAN/254981d2fea8ecc14cfedfbce0cf23ca6bfb967792d3502f5440b4f440e94e93.pth
1,2000,1.4844529256266031e-05,0.0002997171363470775,0.11676159298559481,2.14946349571141,0.06924462165735829,0.034839990686068224,../../models/hcvdata/CTGAN/fab3f9e5f6160763ca09d709dfb28ab582f791477e1f484be8d162eb00bdfc3d.pth
4,1790,0.002793550213580142,6.2176016967829886e-06,0.10934592441043609,1.5043429850433374,0.02509575349130395,0.03467825197821668,../../models/hcvdata/CTGAN/39cc1024b0d7435cc51fee6c09325dcd3b96c0c92417d62663b04670657f65c5.pth
5,880,0.007837650943215984,6.707716169780411e-05,0.11835851679572451,1.9888038871499918,0.02775647472060258,0.07632953320810691,../../models/hcvdata/CTGAN/8f424039ddc8bdcccab3fdc1f8d5349372f7b8b0c6288a2bd9f5b34228ce75c9.pth
2,390,0.00042989964348180427,0.00010110469185917259,0.09601490035678463,2.2418387572887775,0.09065099808815184,0.07709396091985775,../../models/hcvdata/CTGAN/84323cbcc927cbb8f0d57ba5a8b632f3bc1c8d356bbf465bf0e36e80aa727d49.pth
2,1710,0.0001780190892136629,2.206575409640518e-05,0.11425513643972351,1.4025125344914537,0.12818987833064893,0.054470754317825554,../../models/hcvdata/CTGAN/fde88afbcaf0d06c4a8e7e1b5b2ebb51badf81f655b589ba8ad7974381188c37.pth
4,1570,0.0005002801961208141,0.00028648654759717666,0.11312237654074028,1.3377458113461502,0.05928987401253637,0.02747096658320316,../../models/hcvdata/CTGAN/988835b3299ddc86d51a9d6f418d7be705e5d8106838e64be75015f70b88899a.pth
5,1540,0.00011470431931913337,1.5457097240717775e-05,0.10545104123150202,1.6794270096885286,0.03979067822852515,0.028448579145723542,../../models/hcvdata/CTGAN/13b7b8bb968c9a02546a583a41405018fccbfdf9ef80b4656692df2d5cef355c.pth
1,1800,1.0044266201093973e-05,1.7737433432496345e-07,0.10606298874003886,2.261839626656498,0.05078317459519987,0.03459234834756211,../../models/hcvdata/CTGAN/6ec88b362a46f7bc0cc58e91692c49bdb17a331492f92def3ab21bd14d0c035a.pth
3,1250,0.0005174048729080607,1.1561770534177492e-05,0.1200661556617324,1.476932297880813,0.0883467414259013,0.05207357011699365,../../models/hcvdata/CTGAN/a270506734956a8795a952038235af60ef92ff0504d3866d588ba5f17058b841.pth
1,660,0.0001919825036393501,3.860765123961896e-05,0.11367349223755856,2.212239474444912,0.14368428091241034,0.059108655405290894,../../models/hcvdata/CTGAN/9eb0ec62acac80b18da4512c27bd9648d048ac8276eab559f6ccb8642e1add81.pth
4,1870,0.001281856971656417,5.9138679581317656e-06,0.10105488722553053,1.4300989194534293,0.030429072745350075,0.027985537518692313,../../models/hcvdata/CTGAN/9913e733aa539454e6d09c8c7d54cc7bdbe90ca82eb330ef2dbc3193d9e29867.pth
1,590,0.00027778099735563795,6.014595880198739e-05,0.10658536355188056,1.9414109789241136,0.07866662703642034,0.05202426457577111,../../models/hcvdata/CTGAN/5467bb689000abd1e3465fbbcb3ab4da7024f142586da46a5de38369a88e8ab9.pth
3,1950,0.0014460182220449227,6.257743185154017e-05,0.1152143928328538,1.55296741448876,0.03595127462345346,0.0326451530888536,../../models/hcvdata/CTGAN/a6981c8ac945835f046f34dd5b9b9f6ce70b75840c80f609a1366fab45afa8d1.pth
4,1710,0.00118658025744037,1.558791902391411e-05,0.1144635747826716,1.320531020378778,0.036897970407775066,0.026927281870588207,../../models/hcvdata/CTGAN/c003d2bfd76de105e6683ce4953a1856f95287c92007e54692d94e93d0451994.pth
1,420,2.839295005710496e-05,9.476962007259227e-06,0.11686540610267916,2.1319529937790205,0.047480509904208885,0.029107902495934035,../../models/hcvdata/CTGAN/b975be1224c2ffa784fa064d99838635b0eaf4c00847ee646c2633e492a99f45.pth
1,1590,0.001898592920195569,6.949555837445144e-05,0.10760393543840456,1.6321647976698213,0.03818320792510008,0.0308727604126642,../../models/hcvdata/CTGAN/4266a53dd55c81fdeffa850ebe4a3112cafcd94a220a1828cb4891a700b53e8c.pth
1,860,1.527019062582079e-05,4.077805507944042e-07,0.11810023986363163,2.1295918694788063,0.058525970031237474,0.02859079339045555,../../models/hcvdata/CTGAN/0c8db5be119fec87766d60133b4e7cb74475683c6815f8e71d8c8079dd00aae3.pth
2,1970,0.0018019949601247732,2.3419599700518292e-07,0.10364972561280425,1.371924540450756,0.022298647464784223,0.028772177495193698,../../models/hcvdata/CTGAN/9c5771c3cdccb782ee3c6033db4ae88f5b7aaaadeb22fe23b7f748040607ae10.pth
1,700,1.7722757368042217e-05,1.0326490390866968e-07,0.10677504822160493,2.197085188177687,0.06999080787165715,0.037220905823661894,../../models/hcvdata/CTGAN/3692e3e80688932fb7933b9770b73201c83f09889d1cef855de391e206dc2cb7.pth
1,1950,0.0003545271152306798,1.0388175561786865e-06,0.13770762587849128,1.5861096692792185,0.06699639199072567,0.038251913288247556,../../models/hcvdata/CTGAN/952e25ba40335a8f5e54be348ea7a666139bac811af826c7532bfd7acc3e08ee.pth
2,1780,3.3505213894165074e-05,0.00036103718882199887,0.10160269863612222,2.17520696536628,0.030462731296721106,0.025286631458172382,../../models/hcvdata/CTGAN/33b7d0a677cc63363a31171a1679acc22b9a308fb7f8c910f39bdcfeb5cb3638.pth
1,1820,0.00362840503547672,1.0509723594931482e-07,0.11595384881321348,1.803842168211862,0.028153492536317788,0.04100287074521947,../../models/hcvdata/CTGAN/e6f00f469fcf7c41e2a406aef8eec17f135ca2c9ed09d9b2e21faf525aa71552.pth
1,1570,5.765102258079528e-05,1.8686501745328425e-05,0.10191296669553826,2.2326493355189876,0.07186444957740908,0.051222832503232674,../../models/hcvdata/CTGAN/9c7dc1bbb63293d3289b8b92074c3e4bb7a37a484b5a2754df984fb405e718ab.pth
4,1950,1.4594476582689546e-05,5.437153428928007e-06,0.10358858120401107,2.2031613716294602,0.028878989361223795,0.025771401008516916,../../models/hcvdata/CTGAN/00e2aacc75795309f897e7942912d14cfe3dd423dadf841fd6e0ae66ed7b3430.pth
5,420,0.0003756181788075824,4.603080560084995e-05,0.11677932195979727,2.0831163549996106,0.04234778042722618,0.06526671577931546,../../models/hcvdata/CTGAN/dec29ec6953eaec9c146e204a2701b472e0fa9492070c5ec3901e1e6f6d8b272.pth
1,1550,0.0006166513776466253,7.736471354084796e-05,0.12262705138635162,1.7124160645607363,0.14739737597154084,0.047576909259334006,../../models/hcvdata/CTGAN/dba5b39487ded05b991d8a728651ac0b69d1e75495dd1b2d699289e9214f53a3.pth
3,1860,0.00021602380893210254,6.635107598227489e-05,0.12275392284069667,1.39287151750896,0.0869843638222578,0.0420676865071385,../../models/hcvdata/CTGAN/e84b9eefed97e7392a5e88b9ee09bc1049ef2517187657eaa856e27df8cd39ce.pth
1,1070,0.00029205090329734027,1.8754370502732014e-05,0.1344395179643271,1.798767162651125,0.1097674984615589,0.0416685680067074,../../models/hcvdata/CTGAN/6bd1a7a196858d6a28cb799965529570dc89f6bed0ea4c03da261c1f6aa231e9.pth
1,1350,4.28844383803202e-05,1.0420157332245202e-07,0.10460292700730187,2.2314655840193924,0.039894863422805425,0.03374616635003023,../../models/hcvdata/CTGAN/9d84494b526eb474577456960f6996013a6dc18e733d50334016345a23b49906.pth
4,1140,9.237063722838713e-05,2.0906200996117265e-06,0.10318064778168527,1.4200081770600876,0.03516218415493879,0.03716363401395329,../../models/hcvdata/CTGAN/36208f0ffbd624c4a20f8a4c33ccdab4b0b0339df18c4d8fd9353efe0bc52b8d.pth
4,1600,2.2003369218767857e-05,1.966500128331832e-05,0.09932904068267792,1.9811047895375105,0.038202648346781706,0.03245168331325416,../../models/hcvdata/CTGAN/d0e8ec44d1e92f43001a0587d3f6cd465505041652f950d769f24e041287f78c.pth
2,1140,2.6188672670788995e-05,2.0906200996117265e-06,0.09817549376071022,2.2035066816400346,0.03396123115561422,0.026164350763028622,../../models/hcvdata/CTGAN/2b86bfb22f93a743c0515ac2a5738026181b2c72428021288ef39645f31666a9.pth
5,390,1.4781496065824506e-05,1.3339249966653e-06,0.11510577186946694,2.213046028605677,0.03026766714758859,0.03238211565866932,../../models/hcvdata/CTGAN/2df67e7fb09d881b861c5f540cd5498b924ecbbe82beebdb799e9aa0958d453c.pth
5,550,0.0002871007429257022,1.0326490390866968e-07,0.09911810059986102,2.345876328012439,0.04899575971656263,0.054821423531446346,../../models/hcvdata/CTGAN/b56ee5502095e44b10e29d074b3b1a8ece2d1253d63c592c9835d6b64e4ed5c2.pth
3,1950,0.000826999749342929,0.00014036587824401559,0.11006425575044525,1.6559667997865322,0.04494225729796526,0.025451174645023576,../../models/hcvdata/CTGAN/59c702b388c654ccd2b5dddcc2e3063a651c4a0fdce7849478a0c93b670633a9.pth
1,1820,0.00362840503547672,4.0845877990954785e-06,0.10407360773890093,1.7692277304846684,0.03264792490629529,0.039862814214399835,../../models/hcvdata/CTGAN/41d417fec705b1fae05374211e446942e740fe4efdc0df7b498bd1be365f9215.pth
1,1800,0.0018477896626045442,1.252712307212558e-07,0.1066305669478493,1.57057023989714,0.03215735300778171,0.030445817424504737,../../models/hcvdata/CTGAN/3d850b3bc7e9e0340ed651ed3bb717c1ef37ec01bfba4ea8ae895ba6a718eca6.pth
3,1250,0.0005174048729080607,3.579182437879944e-07,0.10161086726302092,1.445533881400003,0.09446265058148132,0.03376419052476471,../../models/hcvdata/CTGAN/c8b7a8a2631bd4a371a4fa27ba64428deb326281ddde826c3480fa382b1fe310.pth
1,1780,0.00011946079389244734,1.8686501745328425e-05,0.12810666954992517,1.6051265776346582,0.07692486833690347,0.05592625962275974,../../models/hcvdata/CTGAN/340f39920479c2a8967d9a6195a5c29104c0433e286aa075dd7f667383064426.pth
1,1020,2.2003369218767857e-05,2.0906200996117265e-06,0.11130795805951596,2.0972452250757505,0.045898376716061055,0.031288998480334,../../models/hcvdata/CTGAN/1fefc4ffa4dc14d29628d68172451e82c45c0f0975a9de9a725b52931382000c.pth
4,1650,0.00019806159044981786,4.134653232070555e-06,0.11531532804865746,1.1362444841060346,0.06428640554381647,0.030972793108621707,../../models/hcvdata/CTGAN/be2c01af39bf46690f15abf80f92e80eb319abbb9d37d933abc41b5b17621d3d.pth
5,660,1.4594476582689546e-05,0.0004159823656414536,0.10634807709095717,2.164436994669207,0.024617399831272802,0.024073825264244907,../../models/hcvdata/CTGAN/a612bb7ddce2c54e7c9e0ccd4094a0bea15fddfef4a51d61a0ff87463457507a.pth
1,1450,0.0061375855678468885,2.6789595325948352e-05,0.10590977517907017,2.1576471036432205,0.028740303214668236,0.05801077021863219,../../models/hcvdata/CTGAN/65a5ed5d6ced0f5dc68f029aee83f4ddd3296a90f22c02b7abb58fd76688a0f5.pth
5,590,1.4781496065824506e-05,6.014595880198739e-05,0.11459011254884666,2.1205411964424283,0.026850291104305382,0.026538726808745406,../../models/hcvdata/CTGAN/7d80a0d1effcc6e7e03de80dfd35bd322f180b368a85ccfa3f5b56093078e24a.pth
1,370,0.00362840503547672,1.0509723594931482e-07,0.13225461401047295,2.4062808177429282,0.03890485350116264,0.1067065781916909,../../models/hcvdata/CTGAN/9e0546aadd6bd19fcd2c2a702fb93c5905aca5c908f5ddf55cd28d2dc1afa688.pth
1,1800,0.0003572966859288476,1.1505668820054587e-06,0.1536313808412501,1.8107985369109547,0.05604530257128616,0.03464973001624921,../../models/hcvdata/CTGAN/feded9c3c06c4926e1387b9c7412aa732258bc4be5edf72a814809680a85731c.pth
4,780,0.0007770294667215705,3.2877492172719116e-06,0.12991539888957207,1.6271070600440103,0.08120354499608068,0.03550867148761277,../../models/hcvdata/CTGAN/456b095f26e6b08aad64351fac8268295cb5a1b0f1ae452e486ed636d4d44e73.pth
4,1950,1.4594476582689546e-05,1.1505668820054587e-06,0.10186152557068483,1.9821181956752068,0.03054846819479747,0.031067652301947656,../../models/hcvdata/CTGAN/3f707c99961bb23281d63e433060f2acd98bca0bb0d513943db7b28c04a33a75.pth
5,420,0.006863117190184364,9.476962007259227e-06,0.10933758543460882,2.0053560085134334,0.028998967799774338,0.059662519795247775,../../models/hcvdata/CTGAN/5c6a2edd535a8bb893a49731a51f39fa06b0a2dce6021e7cf21b25e88c232089.pth
4,1990,0.001281856971656417,1.7120722005379347e-05,0.10859596986697753,1.6766382217387301,0.02843556355297983,0.022419680891200024,../../models/hcvdata/CTGAN/989c70cdcd5a2371f85f321cc09784edc9243d65e32ad2c8ec8b393c20456613.pth
4,1790,0.003968713462661026,1.5250760307744601e-06,0.11399422810221022,1.6188845043700812,0.02403500882150105,0.0416713649953246,../../models/hcvdata/CTGAN/f613c6aceaf575aa766ff949714cbf5328a65721ecc79256f43c2c0fea680998.pth
3,1950,0.0014460182220449227,2.292594775662668e-07,0.11238148203994965,1.3660800460057052,0.026912859498894874,0.02964582427277972,../../models/hcvdata/CTGAN/214ae47f8db31ff3212140ca7b5e8ad5fc6fdcb81c787a18f5ed2ee6c3a5827d.pth
5,1170,0.0007770294667215705,1.2001584632410086e-06,0.11438894223103549,1.4496976230667566,0.06799579600687232,0.028327251278059608,../../models/hcvdata/CTGAN/775c7b8ede8b95222d68aa63ceb6d63fc9e12c0ae05942e0f23f47bbef3e4a05.pth
1,1140,5.765102258079528e-05,1.8686501745328425e-05,0.1125738557075266,2.2944165202441367,0.08596189042359315,0.040680513083292784,../../models/hcvdata/CTGAN/c7be70c794999fdc99943727d6d4e46a477bbb9a275f0e012b325b785bded0d5.pth
1,350,6.519477185717529e-05,3.3991673100262426e-06,0.10339711555503414,2.2724069260244235,0.10000022408882973,0.05086123103349931,../../models/hcvdata/CTGAN/779d8f2e4b653a9f4915e5472850d2d323233666050335abbb0d58152e9a4624.pth
